                 t           Prod
405      32.436762   22271.666264
406      32.516852   22326.522585
407      32.596943   22381.378906
408      32.677034   22436.235227
409      32.757125   22491.091548
410      32.837216   22545.947868
411      32.917306   22600.804189
412      32.997397   22655.660510
413      33.077488   22710.516831
414      33.157579   22765.373152
415      33.237669   22820.229473
416      33.317760   22875.085794
417      33.397851   22929.942114
418      33.477942   22984.798435
419      33.558032   23039.654756
420      33.638123   23094.511077
421      33.718214   23149.367398
422      33.798305   23204.223719
423      33.878396   23259.080040
424      33.958486   23313.936360
425      34.038577   23368.792681
426      34.118668   23423.649002
427      34.198759   23478.505323
428      34.278849   23533.361644
429      34.358940   23588.217965
430      34.439031   23643.074285
431      34.519122   23697.930606
432      34.599212   23752.786927
433      34.679303   23807.643248
434      34.759394   23862.499569
435      34.839485   23917.355890
436      34.919576   23972.212211
437      34.999666   24027.068531
438      35.079757   24081.924852
439      35.159848   24136.781173
440      35.239939   24191.637494
441      35.320029   24246.493815
442      35.400120   24301.350136
443      35.480211   24356.206456
444      35.560302   24411.062777
445      35.640392   24465.919098
446      35.720483   24520.775419
447      35.800574   24575.631740
448      35.880665   24630.488061
449      35.960756   24685.344382
450      36.040846   24740.200702
451      36.120937   24795.057023
452      36.201028   24849.913344
453      36.281119   24904.769665
454      36.361209   24959.625986
455      36.441300   25014.482307
456      36.521391   25069.338627
457      36.601482   25124.194948
458      36.681572   25179.051269
459      36.761663   25233.907590
460      36.841754   25288.763911
461      36.921845   25343.620232
462      37.001936   25398.476553
463      37.082026   25453.332873
464      37.162117   25508.189194
465      37.242208   25563.045515
466      37.322299   25617.901836
467      37.402389   25672.758157
468      37.482480   25727.614478
469      37.562571   25782.470799
470      37.642662   25837.327119
471      37.722752   25892.183440
472      37.802843   25947.039761
473      37.882934   26001.896082
474      37.963025   26056.752403
475      38.043116   26111.608724
476      38.123206   26166.465044
477      38.203297   26221.321365
478      38.283388   26276.177686
479      38.363479   26331.034007
480      38.443569   26385.890328
481      38.523660   26440.746649
482      38.603751   26495.602970
483      38.683842   26550.459290
484      38.763932   26605.315611
485      38.844023   26660.171932
486      38.924114   26715.028253
487      39.004205   26769.884574
488      39.084296   26824.740895
489      39.164386   26879.597215
490      39.244477   26934.453536
491      39.324568   26989.309857
492      39.404659   27044.166178
493      39.484749   27099.022499
494      39.564840   27153.878820
495      39.644931   27208.735141
496      39.725022   27263.591461
497      39.805112   27318.447782
498      39.885203   27373.304103
499      39.965294   27428.160424
500      40.045385   27483.016745
501      40.125476   27537.873066
502      40.205566   27592.729386
503      40.285657   27647.585707
504      40.365748   27702.442028
505      40.445839   27757.298349
506      40.525929   27812.154670
507      40.606020   27867.010991
508      40.686111   27921.867312
509      40.766202   27976.723632
510      40.846292   28031.579953
511      40.926383   28086.436274
512      41.006474   28141.292595
513      41.086565   28196.148916
514      41.166656   28251.005237
515      41.246746   28305.861558
516      41.326837   28360.717878
517      41.406928   28415.574199
518      41.487019   28470.430520
519      41.567109   28525.286841
520      41.647200   28580.143162
521      41.727291   28634.999483
522      41.807382   28689.855803
523      41.887472   28744.712124
524      41.967563   28799.568445
525      42.047654   28854.424766
526      42.127745   28909.281087
527      42.207836   28964.137408
528      42.287926   29018.993729
529      42.368017   29073.850049
530      42.448108   29128.706370
531      42.528199   29183.562691
532      42.608289   29238.419012
533      42.688380   29293.275333
534      42.768471   29348.131654
535      42.848562   29402.987974
536      42.928652   29457.844295
537      43.008743   29512.700616
538      43.088834   29567.556937
539      43.168925   29622.413258
540      43.249016   29677.269579
541      43.329106   29732.125900
542      43.409197   29786.982220
543      43.489288   29841.838541
544      43.569379   29896.694862
545      43.649469   29951.551183
546      43.729560   30006.407504
547      43.809651   30061.263825
548      43.889742   30116.120145
549      43.969832   30170.976466
550      44.049923   30225.832787
551      44.130014   30280.689108
552      44.210105   30335.545429
553      44.290196   30390.401750
554      44.370286   30445.258071
555      44.450377   30500.114391
556      44.530468   30554.970712
557      44.610559   30609.827033
558      44.690649   30664.683354
559      44.770740   30719.539675
560      44.850831   30774.395996
561      44.930922   30829.252317
562      45.011012   30884.108637
563      45.091103   30938.964958
564      45.171194   30993.821279
565      45.251285   31048.677600
566      45.331376   31103.533921
567      45.411466   31158.390242
568      45.491557   31213.246562
569      45.571648   31268.102883
570      45.651739   31322.959204
571      45.731829   31377.815525
572      45.811920   31432.671846
573      45.892011   31487.528167
574      45.972102   31542.384488
575      46.052192   31597.240808
576      46.132283   31652.097129
577      46.212374   31706.953450
578      46.292465   31761.809771
579      46.372556   31816.666092
580      46.452646   31871.522413
581      46.532737   31926.378733
582      46.612828   31981.235054
583      46.692919   32036.091375
584      46.773009   32090.947696
585      46.853100   32145.804017
586      46.933191   32200.660338
587      47.013282   32255.516659
588      47.093372   32310.372979
589      47.173463   32365.229300
590      47.253554   32420.085621
591      47.333645   32474.941942
592      47.413736   32529.798263
593      47.493826   32584.654584
594      47.573917   32639.510905
595      47.654008   32694.367225
596      47.734099   32749.223546
597      47.814189   32804.079867
598      47.894280   32858.936188
599      47.974371   32913.792509
600      48.054462   32968.648830
601      48.134552   33023.505150
602      48.214643   33078.361471
