          x  Sw_0         p_0      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4          p_4   C_0            C_1            C_2            C_3            C_4 
0       0.0  0.251  290.288431  0.740994  499.846643  0.752343  711.825734  0.757291  922.397686  0.760242  1132.135688   0.0   4.998565e+02   4.999999e+02   5.000000e+02   5.000000e+02
1      20.0  0.251  287.385546  0.728478  473.128198  0.743816  686.378389  0.750282  897.502406  0.754121  1107.564132   0.0   4.987336e+02   4.999986e+02   5.000000e+02   5.000000e+02
2      40.0  0.251  284.482662  0.717999  445.462038  0.737336  660.195751  0.745005  872.014337  0.749517  1082.481190   0.0   4.942243e+02   4.999891e+02   5.000000e+02   5.000000e+02
3      60.0  0.251  281.579778  0.707489  417.365502  0.731819  633.419840  0.740590  846.051503  0.745678  1056.989277   0.0   4.819561e+02   4.999414e+02   4.999999e+02   5.000000e+02
4      80.0  0.251  278.676893  0.695549  389.590006  0.726824  606.128060  0.736706  819.678560  0.742319  1031.145078   0.0   4.566415e+02   4.997600e+02   4.999994e+02   5.000000e+02
5     100.0  0.251  275.774009  0.680738  363.197652  0.722080  578.377163  0.733181  792.937632  0.739294  1004.986223   0.0   4.144868e+02   4.992018e+02   4.999971e+02   5.000000e+02
6     120.0  0.251  272.871125  0.661540  339.455369  0.717371  550.228267  0.729905  765.858356  0.736517   978.539974   0.0   3.555492e+02   4.977588e+02   4.999885e+02   5.000000e+02
7     140.0  0.251  269.968241  0.638550  319.419735  0.712483  521.773558  0.726801  738.462508  0.733929   951.827093   0.0   2.845780e+02   4.945406e+02   4.999607e+02   4.999998e+02
8     160.0  0.251  267.065356  0.612128  303.012341  0.707179  493.167568  0.723806  710.766925  0.731488   924.863855   0.0   2.100775e+02   4.882256e+02   4.998820e+02   4.999994e+02
9     180.0  0.251  264.162472  0.578919  289.751498  0.701184  464.658156  0.720859  682.786336  0.729163   897.663210   0.0   1.409720e+02   4.771587e+02   4.996823e+02   4.999980e+02
10    200.0  0.251  261.259588  0.542999  279.365026  0.694166  436.607334  0.717900  654.537250  0.726925   870.235509   0.0   8.436709e+01   4.596283e+02   4.992236e+02   4.999937e+02
11    220.0  0.251  258.356703  0.509636  271.111642  0.685717  409.491364  0.714859  626.043844  0.724753   842.589012   0.0   4.414537e+01   4.342790e+02   4.982626e+02   4.999819e+02
12    240.0  0.251  255.453819  0.480669  264.211526  0.675331  383.874630  0.711658  597.346490  0.722622   814.730367   0.0   1.969410e+01   4.005379e+02   4.964097e+02   4.999523e+02
13    260.0  0.251  252.550935  0.455116  258.092944  0.662470  360.362254  0.708202  568.512895  0.720510   786.665210   0.0   7.242448e+00   3.589036e+02   4.931016e+02   4.998833e+02
14    280.0  0.251  249.648050  0.415485  252.351716  0.647302  339.554566  0.704379  539.650803  0.718391   758.399141   0.0   2.016231e+00   3.110149e+02   4.876009e+02   4.997334e+02
15    300.0  0.251  246.745166  0.322372  247.448833  0.632052  321.445357  0.700054  510.920070  0.716236   729.939326   0.0   2.860695e-01   2.596160e+02   4.790403e+02   4.994289e+02
16    320.0  0.251  243.842282  0.255187  243.873475  0.614142  305.652773  0.695069  482.541096  0.714010   701.297037   0.0   2.916243e-03   2.079471e+02   4.665160e+02   4.988471e+02
17    340.0  0.251  240.939397  0.251008  240.939454  0.592838  292.080480  0.689229  454.796481  0.711674   672.491393   0.0   4.738786e-08   1.590836e+02   4.492238e+02   4.977982e+02
18    360.0  0.251  238.036513  0.251000  238.036513  0.568742  280.643034  0.682296  428.023727  0.709177   643.554412   0.0   2.792344e-14   1.156056e+02   4.266113e+02   4.960082e+02
19    380.0  0.251  235.133629  0.251000  235.133629  0.545744  271.035620  0.673978  402.598767  0.706463   614.537211   0.0   1.630690e-20   7.939739e+01   3.985145e+02   4.931083e+02
20    400.0  0.251  232.230745  0.251000  232.230745  0.524262  262.805526  0.663953  378.913163  0.703463   585.516851   0.0   9.693253e-27   5.134273e+01   3.652434e+02   4.886361e+02
21    420.0  0.251  229.327860  0.251000  229.327860  0.505083  255.590355  0.652118  357.353455  0.700098   556.602906   0.0   5.886891e-33   3.113210e+01   3.276006e+02   4.820543e+02
22    440.0  0.251  226.424976  0.251000  226.424976  0.489835  249.111846  0.639995  338.119226  0.696274   527.942557   0.0   3.640549e-39   1.766425e+01   2.868827e+02   4.727901e+02
