          x  Sw_0         p_0      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4          p_4   C_0            C_1            C_2            C_3            C_4 
0       0.0  0.251  290.288431  0.760245  500.835581  0.765870  709.783738  0.768391  917.996384  0.769905  1125.829154   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
1       5.0  0.251  289.562710  0.754126  494.692797  0.761445  703.792375  0.764734  912.071641  0.766713  1119.944052   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
2      10.0  0.251  288.836989  0.749523  488.422191  0.758107  697.710908  0.761968  906.073363  0.764295  1113.995278   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
3      15.0  0.251  288.111267  0.745685  482.049364  0.755322  691.557337  0.759656  900.016198  0.762272  1107.995495   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
4      20.0  0.251  287.385546  0.742326  475.588484  0.752887  685.341654  0.757634  893.908270  0.760499  1101.951720   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
5      25.0  0.251  286.659825  0.739302  469.048956  0.750702  679.070536  0.755816  887.755005  0.758905  1095.868639   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
6      30.0  0.251  285.934104  0.736525  462.437595  0.748704  672.748878  0.754153  881.560381  0.757446  1089.749685   0.0   5.000000e+02   5.000000e+02   5.000000e+02   5.000000e+02
7      35.0  0.251  285.208383  0.733938  455.759591  0.746854  666.380478  0.752613  875.327483  0.756094  1083.597520   0.0   4.999998e+02   5.000000e+02   5.000000e+02   5.000000e+02
8      40.0  0.251  284.482662  0.731498  449.019012  0.745125  659.968399  0.751174  869.058802  0.754830  1077.414291   0.0   4.999994e+02   5.000000e+02   5.000000e+02   5.000000e+02
9      45.0  0.251  283.756941  0.729173  442.219096  0.743497  653.515178  0.749819  862.756403  0.753639  1071.201780   0.0   4.999980e+02   5.000000e+02   5.000000e+02   5.000000e+02
10     50.0  0.251  283.031220  0.726936  435.362431  0.741955  647.022965  0.748535  856.422038  0.752510  1064.961497   0.0   4.999937e+02   5.000000e+02   5.000000e+02   5.000000e+02
11     55.0  0.251  282.305499  0.724764  428.451082  0.740486  640.493610  0.747313  850.057218  0.751436  1058.694745   0.0   4.999820e+02   5.000000e+02   5.000000e+02   5.000000e+02
12     60.0  0.251  281.579778  0.722634  421.486711  0.739081  633.928727  0.746146  843.663264  0.750409  1052.402664   0.0   4.999526e+02   5.000000e+02   5.000000e+02   5.000000e+02
13     65.0  0.251  280.854057  0.720523  414.470727  0.737733  627.329739  0.745027  837.241344  0.749425  1046.086260   0.0   4.998841e+02   5.000000e+02   5.000000e+02   5.000000e+02
14     70.0  0.251  280.128336  0.718405  407.404526  0.736435  620.697909  0.743950  830.792502  0.748478  1039.746435   0.0   4.997352e+02   5.000000e+02   5.000000e+02   5.000000e+02
15     75.0  0.251  279.402615  0.716252  400.289893  0.735181  614.034371  0.742912  824.317677  0.747565  1033.383999   0.0   4.994326e+02   5.000000e+02   5.000000e+02   5.000000e+02
16     80.0  0.251  278.676893  0.714028  393.129629  0.733968  607.340143  0.741909  817.817720  0.746683  1026.999687   0.0   4.988541e+02   5.000000e+02   5.000000e+02   5.000000e+02
17     85.0  0.251  277.951172  0.711693  385.928491  0.732790  600.616149  0.740938  811.293407  0.745829  1020.594169   0.0   4.978109e+02   5.000000e+02   5.000000e+02   5.000000e+02
18     90.0  0.251  277.225451  0.709199  378.694439  0.731645  593.863224  0.739995  804.745449  0.745000  1014.168061   0.0   4.960299e+02   5.000000e+02   5.000000e+02   5.000000e+02
19     95.0  0.251  276.499730  0.706488  371.440195  0.730529  587.082131  0.739080  798.174502  0.744196  1007.721931   0.0   4.931435e+02   5.000000e+02   5.000000e+02   5.000000e+02
20    100.0  0.251  275.774009  0.703493  364.184942  0.729439  580.273563  0.738188  791.581170  0.743413  1001.256304   0.0   4.886904e+02   5.000000e+02   5.000000e+02   5.000000e+02
21    105.0  0.251  275.048288  0.700133  356.955975  0.728373  573.438153  0.737320  784.966015  0.742650   994.771667   0.0   4.821343e+02   5.000000e+02   5.000000e+02   5.000000e+02
22    110.0  0.251  274.322567  0.696315  349.789971  0.727328  566.576475  0.736473  778.329562  0.741907   988.268475   0.0   4.729028e+02   5.000000e+02   5.000000e+02   5.000000e+02
23    115.0  0.251  273.596846  0.691930  342.733578  0.726303  559.689051  0.735645  771.672298  0.741181   981.747155   0.0   4.604445e+02   5.000000e+02   5.000000e+02   5.000000e+02
24    120.0  0.251  272.871125  0.686844  335.843029  0.725295  552.776353  0.734836  764.994679  0.740471   975.208106   0.0   4.442984e+02   5.000000e+02   5.000000e+02   5.000000e+02
25    125.0  0.251  272.145404  0.680896  329.182635  0.724301  545.838803  0.734044  758.297135  0.739777   968.651703   0.0   4.241662e+02   4.999999e+02   5.000000e+02   5.000000e+02
26    130.0  0.251  271.419683  0.673891  322.822210  0.723320  538.876776  0.733267  751.580069  0.739098   962.078301   0.0   3.999729e+02   4.999998e+02   5.000000e+02   5.000000e+02
27    135.0  0.251  270.693962  0.665605  316.833782  0.722350  531.890600  0.732506  744.843858  0.738432   955.488234   0.0   3.719055e+02   4.999996e+02   5.000000e+02   5.000000e+02
28    140.0  0.251  269.968241  0.655871  311.288465  0.721388  524.880554  0.731759  738.088861  0.737779   948.881818   0.0   3.404230e+02   4.999991e+02   5.000000e+02   5.000000e+02
29    145.0  0.251  269.242519  0.645182  306.256312  0.720433  517.846868  0.731025  731.315415  0.737139   942.259354   0.0   3.062511e+02   4.999981e+02   5.000000e+02   5.000000e+02
30    150.0  0.251  268.516798  0.635231  301.704891  0.719481  510.789726  0.730303  724.523838  0.736510   935.621128   0.0   2.704213e+02   4.999961e+02   5.000000e+02   5.000000e+02
31    155.0  0.251  267.791077  0.624072  297.555931  0.718530  503.709260  0.729593  717.714432  0.735892   928.967410   0.0   2.340676e+02   4.999923e+02   5.000000e+02   5.000000e+02
32    160.0  0.251  267.065356  0.611308  293.800545  0.717577  496.605557  0.728894  710.887480  0.735285   922.298459   0.0   1.982979e+02   4.999850e+02   5.000000e+02   5.000000e+02
33    165.0  0.251  266.339635  0.596849  290.436906  0.716618  489.478662  0.728206  704.043253  0.734687   915.614521   0.0   1.641542e+02   4.999716e+02   5.000000e+02   5.000000e+02
