         x  Sw_0         p_0      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4          p_4   C_0            C_1            C_2            C_3            C_4 
34  1360.0  0.251   92.892298  0.251000   92.892298  0.251000   92.892298  0.251000   92.892298  0.251000    92.892298   0.0  1.267873e-159  1.012837e-113   8.610115e-67   1.749112e-19
35  1400.0  0.251   87.086529  0.251000   87.086529  0.251000   87.086529  0.251000   87.086529  0.251000    87.086529   0.0  7.994702e-166  6.236134e-120   5.080477e-73   1.072408e-25
36  1440.0  0.251   81.280761  0.251000   81.280761  0.251000   81.280761  0.251000   81.280761  0.251000    81.280761   0.0  5.034442e-172  3.839139e-126   3.016803e-79   6.443596e-32
37  1480.0  0.251   75.474992  0.251000   75.474992  0.251000   75.474992  0.251000   75.474992  0.251000    75.474992   0.0  3.167603e-178  2.359397e-132   1.806022e-85   3.800767e-38
38  1520.0  0.251   69.669223  0.251000   69.669223  0.251000   69.669223  0.251000   69.669223  0.251000    69.669223   0.0  1.992486e-184  1.446455e-138   1.089149e-91   2.213334e-44
39  1560.0  0.251   63.863455  0.251000   63.863455  0.251000   63.863455  0.251000   63.863455  0.251000    63.863455   0.0  1.253611e-190  8.847299e-145   6.599117e-98   1.282412e-50
40  1600.0  0.251   58.057686  0.251000   58.057686  0.251000   58.057686  0.251000   58.057686  0.251000    58.057686   0.0  7.891455e-197  5.403387e-151  4.003790e-104   7.451170e-57
41  1640.0  0.251   52.251918  0.251000   52.251918  0.251000   52.251918  0.251000   52.251918  0.251000    52.251918   0.0  4.970346e-203  3.298791e-157  2.425375e-110   4.367177e-63
42  1680.0  0.251   46.446149  0.251000   46.446149  0.251000   46.446149  0.251000   46.446149  0.251000    46.446149   0.0  3.131568e-209  2.015323e-163  1.464263e-116   2.588408e-69
43  1720.0  0.251   40.640380  0.251000   40.640380  0.251000   40.640380  0.251000   40.640380  0.251000    40.640380   0.0  1.973036e-215  1.233010e-169  8.805798e-123   1.549552e-75
44  1760.0  0.251   34.834612  0.251000   34.834612  0.251000   34.834612  0.251000   34.834612  0.251000    34.834612   0.0  1.242648e-221  7.557040e-176  5.278383e-129   9.334330e-82
45  1800.0  0.251   29.028843  0.251000   29.028843  0.251000   29.028843  0.251000   29.028843  0.251000    29.028843   0.0  7.821208e-228  4.639106e-182  3.158034e-135   5.631795e-88
46  1840.0  0.251   23.223074  0.251000   23.223074  0.251000   23.223074  0.251000   23.223074  0.251000    23.223074   0.0  4.918568e-234  2.851088e-188  1.888993e-141   3.389753e-94
47  1880.0  0.251   17.417306  0.251000   17.417306  0.251000   17.417306  0.251000   17.417306  0.251000    17.417306   0.0  3.090487e-240  1.753169e-194  1.131263e-147  2.030446e-100
48  1920.0  0.251   11.611537  0.251000   11.611537  0.251000   11.611537  0.251000   11.611537  0.251000    11.611537   0.0  1.940292e-246  1.078063e-200  6.788859e-154  1.209586e-106
49  1960.0  0.251    5.805769  0.251000    5.805769  0.251000    5.805769  0.251000    5.805769  0.251000     5.805769   0.0  1.217329e-252  6.627131e-207  4.083289e-160  7.172853e-113
50  2000.0  0.251    0.000000  0.251000    0.000000  0.251000    0.000000  0.251000    0.000000  0.251000     0.000000   0.0  7.632963e-259  4.072185e-213  2.460486e-166  4.242132e-119
