          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
32    320.0  0.251  406.403803  0.722041  1077.217979  0.742502  3080.830675  0.750188  4398.842706  0.750484  4256.735039   0.0   4.880171e+02   5.000000e+02  2.142234e+01  5.223864e-09
33    330.0  0.251  403.984733  0.720075  1032.587788  0.741980  3037.610662  0.749917  4394.745523  0.750245  4255.385771   0.0   4.826252e+02   5.000000e+02  3.006701e+01  1.387425e-08
34    340.0  0.251  401.565662  0.717864   988.390987  0.741464  2994.311794  0.749644  4390.110234  0.750015  4254.035238   0.0   4.754620e+02   5.000000e+02  4.111037e+01  3.580460e-08
35    350.0  0.251  399.146592  0.715360   944.821947  0.740956  2950.935205  0.749367  4384.798443  0.749793  4252.683471   0.0   4.662097e+02   5.000000e+02  5.481973e+01  8.985525e-08
36    360.0  0.251  396.727522  0.712507   902.109500  0.740453  2907.481969  0.749084  4378.659315  0.749578  4251.330493   0.0   4.545808e+02   5.000000e+02  7.137144e+01  2.194658e-07
37    370.0  0.251  394.308452  0.709240   860.513482  0.739955  2863.953094  0.748794  4371.535280  0.749370  4249.976295   0.0   4.403466e+02   5.000000e+02  9.082082e+01  5.220764e-07
38    380.0  0.251  391.889381  0.705480   820.318371  0.739463  2820.349527  0.748491  4363.178544  0.749169  4248.620817   0.0   4.233646e+02   5.000000e+02  1.130804e+02  1.210469e-06
39    390.0  0.251  389.470311  0.701130   781.824273  0.738976  2776.672158  0.748160  4353.270891  0.748974  4247.263878   0.0   4.036025e+02   5.000000e+02  1.379104e+02  2.737277e-06
40    400.0  0.251  387.051241  0.696076   745.335928  0.738493  2732.921815  0.747812  4341.585876  0.748785  4245.905051   0.0   3.811529e+02   5.000000e+02  1.649230e+02  6.040982e-06
41    410.0  0.251  384.632171  0.690193   711.151135  0.738013  2689.099269  0.747449  4327.988116  0.748601  4244.543411   0.0   3.562398e+02   5.000000e+02  1.936009e+02  1.301924e-05
42    420.0  0.251  382.213100  0.683437   679.551796  0.737538  2645.205230  0.747072  4312.380306  0.748424  4243.177039   0.0   3.292144e+02   5.000000e+02  2.233290e+02  2.741617e-05
43    430.0  0.251  379.794030  0.676376   650.808766  0.737065  2601.240348  0.746682  4294.708616  0.748251  4241.802089   0.0   3.005534e+02   5.000000e+02  2.534363e+02  5.644330e-05
44    440.0  0.251  377.374960  0.669880   624.573766  0.736595  2557.205211  0.746283  4274.965216  0.748082  4240.411059   0.0   2.708802e+02   5.000000e+02  2.832410e+02  1.136670e-04
45    450.0  0.251  374.955890  0.662567   600.388414  0.736127  2513.100344  0.745870  4252.966382  0.747917  4238.989667   0.0   2.408387e+02   4.999999e+02  3.120964e+02  2.240243e-04
46    460.0  0.251  372.536819  0.654307   578.283798  0.735660  2468.926203  0.745383  4228.301674  0.747754  4237.511346   0.0   2.110694e+02   4.999999e+02  3.394320e+02  4.323226e-04
47    470.0  0.251  370.117749  0.645004   558.251804  0.735195  2424.683176  0.744868  4200.850289  0.747591  4235.927753   0.0   1.821861e+02   4.999997e+02  3.647829e+02  8.172940e-04
48    480.0  0.251  367.698679  0.634590   540.243631  0.734730  2380.371575  0.744349  4170.827847  0.747424  4234.152790   0.0   1.547434e+02   4.999995e+02  3.878072e+02  1.514276e-03
49    490.0  0.251  365.279609  0.623060   524.174005  0.734266  2335.991637  0.743832  4138.480939  0.747246  4232.036275   0.0   1.292096e+02   4.999990e+02  4.082948e+02  2.750940e-03
50    500.0  0.251  362.860538  0.610832   509.929612  0.733800  2291.543519  0.743322  4104.073051  0.747053  4229.501631   0.0   1.059544e+02   4.999982e+02  4.261629e+02  4.902250e-03
51    510.0  0.251  360.441468  0.599616   497.250236  0.733333  2247.027293  0.742822  4067.872009  0.746900  4226.766295   0.0   8.527289e+01   4.999968e+02  4.414428e+02  8.572740e-03
52    520.0  0.251  358.022398  0.588553   485.817729  0.732863  2202.442954  0.742337  4030.139087  0.746764  4224.029108   0.0   6.732136e+01   4.999943e+02  4.542597e+02  1.471686e-02
53    530.0  0.251  355.603328  0.577593   475.435489  0.732390  2157.790422  0.741869  3991.120277  0.746631  4221.289999   0.0   5.209772e+01   4.999902e+02  4.648089e+02  2.481118e-02
54    540.0  0.251  353.184257  0.567105   465.950979  0.731912  2113.069554  0.741420  3951.039978  0.746501  4218.548729   0.0   3.949588e+01   4.999835e+02  4.733317e+02  4.109378e-02
55    550.0  0.251  350.765187  0.557442   457.215161  0.731427  2068.280176  0.740990  3910.097082  0.746375  4215.804899   0.0   2.932113e+01   4.999725e+02  4.800929e+02  6.688918e-02
56    560.0  0.251  348.346117  0.548900   449.087725  0.730936  2023.422125  0.740578  3868.463246  0.746253  4213.057887   0.0   2.131295e+01   4.999551e+02  4.853614e+02  1.070378e-01
57    570.0  0.251  345.927047  0.541670   441.441493  0.730434  1978.495318  0.740184  3826.282972  0.746133  4210.306744   0.0   1.517029e+01   4.999278e+02  4.893950e+02  1.684483e-01
