        x        Sw        So   Cp  Sw_0  So_0  Cp_0      Sw_1      So_1  Cp_1      Sw_2      So_2  Cp_2      Sw_3      So_3  Cp_3
42   2.52  0.490467  0.509533  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.468000  0.532000   0.0
43   2.58  0.489403  0.510597  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.465627  0.534373   0.0
44   2.64  0.488229  0.511771  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.463213  0.536787   0.0
45   2.70  0.486960  0.513040  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.460751  0.539249   0.0
46   2.76  0.485607  0.514393  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.458233  0.541767   0.0
47   2.82  0.484182  0.515818  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.455648  0.544352   0.0
48   2.88  0.482695  0.517305  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.452976  0.547024   0.0
49   2.94  0.481156  0.518844  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.450191  0.549809   0.0
50   3.00  0.479572  0.520428  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.447255  0.552745   0.0
51   3.06  0.477951  0.522049  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.444110  0.555890   0.0
52   3.12  0.476297  0.523703  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.440665  0.559335   0.0
53   3.18  0.474616  0.525384  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.436773  0.563227   0.0
54   3.24  0.472910  0.527090  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.432174  0.567826   0.0
55   3.30  0.471183  0.528817  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.426369  0.573631   0.0
56   3.36  0.469436  0.530564  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.418266  0.581734   0.0
57   3.42  0.467670  0.532330  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.404948  0.595052   0.0
58   3.48  0.465885  0.534115  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.375424  0.624576   0.0
59   3.54  0.464080  0.535920  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.266927  0.733073   0.0
60   3.60  0.462253  0.537747  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.111968  0.888032   0.0
61   3.66  0.460401  0.539599  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100002  0.899998   0.0
62   3.72  0.458522  0.541478  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
63   3.78  0.456608  0.543392  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
64   3.84  0.454653  0.545347  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
65   3.90  0.452646  0.547354  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
66   3.96  0.450575  0.549425  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
67   4.02  0.448422  0.551578  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
68   4.08  0.446160  0.553840  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
69   4.14  0.443754  0.556246  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
70   4.20  0.441151  0.558849  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
71   4.26  0.438270  0.561730  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
72   4.32  0.434979  0.565021  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
73   4.38  0.431053  0.568947  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
74   4.44  0.426071  0.573929  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
75   4.50  0.419143  0.580857  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
76   4.56  0.408028  0.591972  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
77   4.62  0.385126  0.614874  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
78   4.68  0.308477  0.691523  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
79   4.74  0.133062  0.866938  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
80   4.80  0.100046  0.899954  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
81   4.86  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
82   4.92  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
83   4.98  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
84   5.04  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
85   5.10  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
86   5.16  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
87   5.22  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
88   5.28  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
89   5.34  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
90   5.40  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
91   5.46  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
92   5.52  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
93   5.58  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
94   5.64  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
95   5.70  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
96   5.76  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
97   5.82  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
98   5.88  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
99   5.94  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
100  6.00  0.100000  0.900000  0.0   0.1   0.9   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0  0.100000  0.900000   0.0
