CFL: 0.834861645022950
Execution time : 0.14682418199663516

        x        Sw        So
197  1.97  0.754940  0.245060
198  1.98  0.754834  0.245166
199  1.99  0.754729  0.245271
200  2.00  0.754624  0.245376
201  2.01  0.754519  0.245481
202  2.02  0.754414  0.245586
203  2.03  0.754310  0.245690
204  2.04  0.754206  0.245794
205  2.05  0.754102  0.245898
206  2.06  0.753999  0.246001
207  2.07  0.753896  0.246104
208  2.08  0.753793  0.246207
209  2.09  0.753691  0.246309
210  2.10  0.753588  0.246412
211  2.11  0.753486  0.246514
212  2.12  0.753385  0.246615
213  2.13  0.753283  0.246717
214  2.14  0.753182  0.246818
215  2.15  0.753081  0.246919
216  2.16  0.752980  0.247020
217  2.17  0.752880  0.247120
218  2.18  0.752779  0.247221
219  2.19  0.752680  0.247320
220  2.20  0.752580  0.247420
221  2.21  0.752480  0.247520
222  2.22  0.752381  0.247619
223  2.23  0.752282  0.247718
224  2.24  0.752183  0.247817
225  2.25  0.752085  0.247915
226  2.26  0.751987  0.248013
227  2.27  0.751889  0.248111
228  2.28  0.751791  0.248209
229  2.29  0.751693  0.248307
230  2.30  0.751596  0.248404
231  2.31  0.751499  0.248501
232  2.32  0.751402  0.248598
233  2.33  0.751306  0.248694
234  2.34  0.751209  0.248791
235  2.35  0.751113  0.248887
236  2.36  0.751017  0.248983
237  2.37  0.750921  0.249079
238  2.38  0.750826  0.249174
239  2.39  0.750731  0.249269
240  2.40  0.750636  0.249364
241  2.41  0.750541  0.249459
242  2.42  0.750446  0.249554
243  2.43  0.750352  0.249648
244  2.44  0.750258  0.249742
245  2.45  0.750164  0.249836
246  2.46  0.750070  0.249930
247  2.47  0.749976  0.250024
248  2.48  0.749883  0.250117
249  2.49  0.749790  0.250210
250  2.50  0.749697  0.250303
251  2.51  0.749604  0.250396
252  2.52  0.749512  0.250488
253  2.53  0.749419  0.250581
254  2.54  0.749327  0.250673
255  2.55  0.749235  0.250765
256  2.56  0.749143  0.250857
257  2.57  0.749052  0.250948
258  2.58  0.748960  0.251040
259  2.59  0.748869  0.251131
260  2.60  0.748778  0.251222
261  2.61  0.748688  0.251312
262  2.62  0.748597  0.251403
263  2.63  0.748507  0.251493
264  2.64  0.748416  0.251584
265  2.65  0.748326  0.251674
266  2.66  0.748236  0.251764
267  2.67  0.748147  0.251853
268  2.68  0.748057  0.251943
269  2.69  0.747968  0.252032
270  2.70  0.747879  0.252121
271  2.71  0.747790  0.252210
272  2.72  0.747701  0.252299
273  2.73  0.747613  0.252387
274  2.74  0.747524  0.252476
275  2.75  0.747436  0.252564
276  2.76  0.747348  0.252652
277  2.77  0.747260  0.252740
278  2.78  0.747172  0.252828
279  2.79  0.747085  0.252915
280  2.80  0.746997  0.253003
281  2.81  0.746910  0.253090
282  2.82  0.746823  0.253177
283  2.83  0.746736  0.253264
284  2.84  0.746650  0.253350
285  2.85  0.746563  0.253437
286  2.86  0.746477  0.253523
287  2.87  0.746390  0.253610
288  2.88  0.746304  0.253696
289  2.89  0.746218  0.253782
290  2.90  0.746133  0.253867
